epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8335,1.84603,2.165,1.30194,0.82049,0.86986,0.9286,0.56164,1.22728,1.28622,1.05165,0.00055164,0.00055164,0.00055164
2,26.2771,1.69842,1.33748,1.21307,0.93745,0.91264,0.97116,0.65206,1.10664,0.87909,1.01397,0.00110292,0.00110292,0.00110292
3,38.5198,1.66782,1.25498,1.20238,0.97054,0.92685,0.96904,0.66732,1.14225,0.88268,1.02437,0.0016498,0.0016498,0.0016498
4,50.6448,1.61584,1.18317,1.17982,0.93809,0.96413,0.97276,0.65592,1.1219,0.7908,1.00442,0.0016472,0.0016472,0.0016472
5,62.6866,1.59955,1.11846,1.18366,0.95222,0.94928,0.9745,0.63075,1.22911,0.78229,1.08834,0.00164059,0.00164059,0.00164059
6,74.8902,1.601,1.0914,1.16263,0.96442,0.9501,0.97063,0.67487,1.1403,0.73975,1.01433,0.00163399,0.00163399,0.00163399
7,86.9727,1.54364,1.04197,1.13295,0.9923,0.95205,0.98301,0.66576,1.15659,0.71284,1.03697,0.00162739,0.00162739,0.00162739
8,99.0671,1.52815,1.02427,1.13371,0.95416,0.95427,0.97398,0.67407,1.11182,0.70582,1.01875,0.00162079,0.00162079,0.00162079
9,111.15,1.56533,0.98504,1.14066,0.97838,0.94445,0.98384,0.67029,1.1124,0.69795,1.01681,0.00161419,0.00161419,0.00161419
10,123.108,1.56175,1.00424,1.14385,0.98842,0.95439,0.97921,0.68706,1.09532,0.68605,1.01221,0.00160759,0.00160759,0.00160759
11,135.052,1.53469,0.9555,1.12484,0.96962,0.97623,0.98828,0.70561,1.04567,0.63226,0.98993,0.00160099,0.00160099,0.00160099
12,146.852,1.48881,0.93703,1.11295,0.9845,0.95491,0.9837,0.67713,1.09549,0.63719,1.01191,0.00159439,0.00159439,0.00159439
13,158.583,1.47314,0.92907,1.10957,0.97806,0.96072,0.98692,0.65247,1.18315,0.63101,1.02909,0.00158778,0.00158778,0.00158778
14,170.621,1.47446,0.91474,1.10841,0.96641,0.9654,0.98388,0.71292,1.01269,0.62643,0.97184,0.00158118,0.00158118,0.00158118
15,182.505,1.48092,0.93292,1.11831,0.95584,0.9501,0.97322,0.69844,0.99992,0.60032,0.97507,0.00157458,0.00157458,0.00157458
16,194.405,1.49815,0.9154,1.11029,0.97471,0.96601,0.97792,0.71969,1.00664,0.60441,0.97679,0.00156798,0.00156798,0.00156798
17,206.32,1.43988,0.88419,1.09346,0.95135,0.97515,0.97879,0.72139,0.96997,0.58709,0.96575,0.00156138,0.00156138,0.00156138
18,218.246,1.44642,0.8851,1.09563,0.96627,0.96459,0.98948,0.72692,0.96649,0.59207,0.96863,0.00155478,0.00155478,0.00155478
19,230.167,1.44689,0.87036,1.10303,0.97652,0.97104,0.98835,0.72336,1.01906,0.58453,0.98553,0.00154818,0.00154818,0.00154818
20,242.307,1.43433,0.8405,1.08463,0.95056,0.97083,0.98612,0.72084,0.98029,0.56547,0.9663,0.00154157,0.00154157,0.00154157
21,254.345,1.38328,0.82689,1.07519,0.97567,0.96618,0.9853,0.73329,0.97347,0.54418,0.96917,0.00153497,0.00153497,0.00153497
22,266.491,1.40914,0.84041,1.08339,0.98283,0.96048,0.98696,0.68678,1.04408,0.55927,0.97897,0.00152837,0.00152837,0.00152837
23,278.58,1.39687,0.8277,1.07616,0.97942,0.9792,0.99111,0.73587,1.00291,0.55141,0.97455,0.00152177,0.00152177,0.00152177
24,290.523,1.38271,0.81061,1.07646,0.97663,0.9709,0.99034,0.72884,0.95371,0.5235,0.96055,0.00151517,0.00151517,0.00151517
25,302.513,1.4101,0.83916,1.09213,0.97494,0.97377,0.98533,0.73795,0.95398,0.57063,0.95957,0.00150857,0.00150857,0.00150857
26,314.444,1.39712,0.83037,1.07801,0.98949,0.975,0.99163,0.74215,0.96042,0.52074,0.95625,0.00150197,0.00150197,0.00150197
27,326.341,1.39314,0.81127,1.07979,0.98683,0.96734,0.98689,0.75133,0.92789,0.50421,0.94613,0.00149537,0.00149537,0.00149537
28,338.216,1.39743,0.80356,1.0702,0.98144,0.95014,0.99046,0.74538,0.94535,0.55505,0.95279,0.00148876,0.00148876,0.00148876
29,350.14,1.36408,0.78058,1.05624,0.98985,0.96972,0.99324,0.75778,0.89243,0.49911,0.93629,0.00148216,0.00148216,0.00148216
30,362.064,1.36683,0.79821,1.06456,0.99109,0.94361,0.98251,0.71066,0.99427,0.53916,0.96225,0.00147556,0.00147556,0.00147556
31,373.93,1.37333,0.78769,1.05732,0.9783,0.98601,0.99155,0.74173,0.91356,0.49688,0.93494,0.00146896,0.00146896,0.00146896
32,385.835,1.33806,0.76421,1.05011,0.98715,0.96966,0.98646,0.71795,0.97449,0.51112,0.95393,0.00146236,0.00146236,0.00146236
33,397.655,1.32784,0.77573,1.04531,0.97711,0.96406,0.98912,0.72342,0.97472,0.51204,0.95639,0.00145576,0.00145576,0.00145576
34,409.749,1.37573,0.76994,1.06293,0.98687,0.97136,0.9926,0.7443,0.92342,0.49291,0.93579,0.00144916,0.00144916,0.00144916
35,421.792,1.31997,0.74764,1.04772,0.97769,0.97083,0.98347,0.75664,0.89867,0.49008,0.9338,0.00144256,0.00144256,0.00144256
