epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4984,1.84603,2.165,1.30194,0.82049,0.86986,0.9286,0.56164,1.22728,1.28622,1.05165,0.00055164,0.00055164,0.00055164
2,27.8651,1.70456,1.34716,1.22011,0.92842,0.90854,0.95899,0.6386,1.10304,0.95368,1.02794,0.0011,0.0011,0.0011
3,39.9037,1.6818,1.26502,1.21321,0.95609,0.95508,0.97863,0.58559,1.31047,0.90186,1.09088,0.00164102,0.00164102,0.00164102
4,51.6604,1.64501,1.19607,1.19123,0.94956,0.93825,0.97518,0.61309,1.26725,0.82485,1.06521,0.00163399,0.00163399,0.00163399
5,63.5128,1.60762,1.13107,1.18981,0.93157,0.95427,0.96633,0.64294,1.24757,0.81906,1.09109,0.00162299,0.00162299,0.00162299
6,75.5453,1.61613,1.1032,1.17753,0.9438,0.96055,0.98394,0.70197,1.05963,0.73861,1.01452,0.00161199,0.00161199,0.00161199
7,87.4107,1.55199,1.04607,1.14938,0.95997,0.9667,0.98357,0.69886,1.04837,0.72302,1.00453,0.00160099,0.00160099,0.00160099
8,99.2089,1.55543,1.04154,1.15063,0.9497,0.93347,0.9751,0.67564,1.0831,0.69218,1.02219,0.00158998,0.00158998,0.00158998
9,110.971,1.55538,0.98443,1.14808,0.97802,0.94442,0.97884,0.70811,1.08216,0.6944,1.02694,0.00157898,0.00157898,0.00157898
10,122.819,1.56646,1.00133,1.15231,0.9875,0.96257,0.98327,0.7081,1.07943,0.64066,1.0007,0.00156798,0.00156798,0.00156798
11,134.561,1.52541,0.94881,1.1284,0.96606,0.963,0.99145,0.70179,1.00381,0.61509,0.97818,0.00155698,0.00155698,0.00155698
12,146.507,1.4922,0.92566,1.11773,0.98358,0.95592,0.9806,0.71641,1.04158,0.61511,0.99809,0.00154598,0.00154598,0.00154598
13,158.551,1.48864,0.93605,1.12114,0.98746,0.96224,0.98967,0.66423,1.13035,0.62958,1.01363,0.00153497,0.00153497,0.00153497
14,170.597,1.47172,0.91017,1.11227,0.97585,0.98337,0.99177,0.71714,0.99429,0.59616,0.98991,0.00152397,0.00152397,0.00152397
15,182.611,1.4787,0.92201,1.12063,0.97079,0.96979,0.98517,0.72382,0.99982,0.60107,0.98055,0.00151297,0.00151297,0.00151297
16,194.722,1.48463,0.90626,1.11065,0.96772,0.96598,0.98839,0.71175,1.0018,0.62212,0.97688,0.00150197,0.00150197,0.00150197
17,206.638,1.44072,0.88844,1.09718,0.98371,0.97297,0.98555,0.72906,0.95779,0.57399,0.9544,0.00149096,0.00149096,0.00149096
